id,x,y
0,94718,208645
1,94758,208612
2,94716,208557
3,94730,208561
4,94744,208566
5,94730,208525
6,94745,208530
7,94759,208534
8,94739,208492
9,94752,208497
10,94766,208500
11,94775,208478
