id,x,y
0,94340,209313
1,94350,209317
2,94360,209324
3,94365,209273
4,94376,209277
5,94386,209283
6,94387,209232
7,94398,209235
8,94409,209238
9,94410,209171
10,94424,209175
11,94438,209179
12,94425,209127
13,94443,209126
14,94460,209125
15,94453,209036
