id,x,y
0,94336,209103,a
1,94352,209103,b
2,94369,209103,c
3,94326,209137,d
4,94336,209137,e
5,94345,209137,f
6,94314,209168,g
7,94329,209168,h
8,94343,209168,i
9,94296,209205,j
10,94310,209205,k
11,94325,209205,l
12,94276,209240,m
