id,x,y
0,93980,209822,a
1,93998,209832,b
2,94015,209844,c
3,94006,209793,d
4,94017,209797,e
5,94029,209801,f
6,94034,209742,g
7,94046,209756,h
8,94058,209770,i
9,94123,209739,j
