x,y,z,yaw,velocity,change_flag
94175.2896,209037.5072,-3886.3258,1.4711,4,0
94175.3696,209038.5141,-3886.4501,1.4482,4,0
94175.5184,209039.526,-3886.502,1.4245,6,0
94175.6769,209040.5199,-3886.5406,1.4136,6,0
94175.8398,209041.5261,-3886.5835,1.4013,8,0
94176.0209,209042.5217,-3886.6261,1.3909,8,0
94176.211,209043.506,-3886.6787,1.3799,8,0
94176.4119,209044.4887,-3886.7363,1.3803,10,0
94176.6075,209045.4767,-3886.7745,1.3693,10,0
94176.8079,209046.4606,-3886.8103,1.3663,10,0
94177.0069,209047.4444,-3886.8412,1.3645,10,0
94177.2118,209048.426,-3886.8731,1.3638,10,0
94177.4444,209049.4256,-3886.93,1.3557,10,0
94177.6844,209050.4275,-3886.9824,1.3552,10,0
94177.9164,209051.4491,-3887.0475,1.3507,10,0
94178.1429,209052.4562,-3887.1138,1.3521,10,0
94178.3574,209053.4444,-3887.1762,1.359,10,0
94178.5663,209054.4886,-3887.2494,1.3628,10,0
94178.7812,209055.539,-3887.3152,1.3641,8,0
94178.9247,209056.5458,-3887.3909,1.4067,8,0
94179.0736,209057.5444,-3887.4653,1.4101,8,0
94179.2083,209058.5927,-3887.5562,1.4602,8,0
94179.3305,209059.6353,-3887.6493,1.4746,8,0
94179.4284,209060.6314,-3887.7388,1.5094,8,0
94179.4903,209061.6803,-3887.8504,1.5379,8,0
94179.5472,209062.6859,-3887.9473,1.537,8,0
94179.5403,209063.7042,-3888.0414,1.6141,8,0
94179.5236,209064.723,-3888.1281,1.6162,10,0
94179.4482,209065.7222,-3888.1996,1.6606,10,0
94179.348,209066.7213,-3888.2643,1.6671,10,0
94179.2408,209067.723,-3888.3201,1.674,10,0
94179.1205,209068.7342,-3888.3672,1.681,10,0
94178.9966,209069.753,-3888.4081,1.6764,10,0
94178.8965,209070.8059,-3888.4587,1.6582,10,0
94178.7942,209071.8385,-3888.5027,1.6569,10,0
94178.7414,209072.8375,-3888.5357,1.6108,10,0
94178.6936,209073.8465,-3888.568,1.6113,10,0
94178.6996,209074.8531,-3888.5967,1.5661,10,0
94178.7409,209075.8554,-3888.6226,1.5664,10,0
94178.77,209076.896,-3888.6437,1.5868,10,0
94178.7756,209077.9179,-3888.6597,1.5988,10,0
94178.7406,209078.9569,-3888.6775,1.6524,10,0
94178.6525,209079.9838,-3888.7002,1.6761,10,0
94178.5133,209080.9755,-3888.7202,1.7622,10,0
94178.3039,209081.9858,-3888.7324,1.7878,10,0
94178.0195,209082.9857,-3888.7347,1.8815,10,0
94177.6897,209083.9455,-3888.7284,1.8914,10,0
94177.2883,209084.8757,-3888.7514,1.9762,10,0
94176.848,209085.7757,-3888.8134,2.0308,10,0
94176.3465,209086.6622,-3888.9255,2.0384,10,0
94175.8462,209087.5425,-3889.0174,2.0711,10,0
94175.3265,209088.4503,-3889.1414,2.0641,10,0
94174.8212,209089.3244,-3889.2994,2.0619,10,0
94174.2665,209090.1853,-3889.5501,2.0607,10,0
