x,y,z,yaw,velocity,change_flag
94552.0492,208981.1442,-3905.1682,0.9329,2,0
94552.6555,208981.9398,-3905.2692,0.906,4,0
94553.3024,208982.7154,-3905.3882,0.8488,4,0
94553.9831,208983.4798,-3905.4812,0.8034,6,0
94554.7253,208984.152,-3905.5962,0.7159,6,0
94555.5236,208984.7832,-3905.712,0.6026,8,0
94556.3615,208985.3458,-3905.8538,0.5766,8,0
94557.2769,208985.8297,-3905.9845,0.4553,8,0
94558.1919,208986.2779,-3906.1087,0.4531,8,0
94559.1632,208986.5876,-3906.2469,0.3281,8,0
94560.1406,208986.9121,-3906.3607,0.2755,8,0
94561.1239,208987.1691,-3906.4785,0.2212,8,0
94562.1243,208987.36,-3906.6181,0.151,8,0
94563.1195,208987.4683,-3906.7463,0.0917,8,0
94564.1234,208987.4958,-3906.8884,-0.0122,8,0
94565.1317,208987.4535,-3907.0163,-0.04,10,0
94566.1658,208987.3494,-3907.1267,-0.1392,10,0
94567.1626,208987.2046,-3907.2434,-0.1528,10,0
94568.1617,208986.9601,-3907.3436,-0.2627,10,0
94569.1521,208986.6915,-3907.4424,-0.2664,10,0
94570.0955,208986.3442,-3907.5286,-0.359,10,0
94571.0786,208985.9717,-3907.5982,-0.3689,10,0
94572.0027,208985.5682,-3907.6621,-0.4116,10,0
94572.9487,208985.1404,-3907.7281,-0.4143,10,0
94573.8903,208984.6926,-3907.7735,-0.4356,10,0
94574.8358,208984.2412,-3907.8213,-0.4406,10,0
94575.7427,208983.8019,-3907.875,-0.4394,10,0
94576.6662,208983.3483,-3907.9196,-0.4418,10,0
94577.606,208982.9044,-3907.9568,-0.4412,10,0
94578.5171,208982.4842,-3907.9695,-0.4389,10,0
94579.4529,208982.0786,-3907.9662,-0.4372,10,0
94580.3829,208981.6621,-3907.9767,-0.44,10,0
94581.2994,208981.2542,-3908.0007,-0.4371,10,0
94582.2212,208980.846,-3908.0519,-0.4248,10,0
94583.1576,208980.4345,-3908.1028,-0.4222,8,0
94584.1274,208980.0321,-3908.1407,-0.3924,8,0
94585.0732,208979.6588,-3908.1812,-0.3861,8,0
94586.0533,208979.29,-3908.2344,-0.3611,8,0
94587.0245,208978.9484,-3908.2666,-0.3461,8,0
94587.9905,208978.6327,-3908.2706,-0.3064,8,0
94588.9524,208978.3448,-3908.2716,-0.293,8,0
94589.9626,208978.1557,-3908.3147,-0.1986,8,0
94590.9639,208978.0198,-3908.3712,-0.1776,8,0
94591.9641,208978.0075,-3908.4829,-0.0301,8,0
94593.0047,208978.0634,-3908.6149,-0.0066,8,0
94594.0138,208978.1793,-3908.777,0.1333,8,0
94595.0203,208978.341,-3908.9465,0.1676,8,0
94595.9901,208978.5962,-3909.1216,0.3024,8,0
94596.9667,208978.9123,-3909.2961,0.3279,8,0
94597.8865,208979.3202,-3909.4629,0.4877,8,0
94598.7546,208979.8579,-3909.6301,0.5517,8,0
94599.5623,208980.4818,-3909.7954,0.707,8,0
94600.2838,208981.2001,-3909.9543,0.7606,8,0
94600.9723,208981.9427,-3910.1047,0.8498,8,0
94601.5509,208982.8,-3910.2698,0.9458,8,0
94602.0953,208983.6602,-3910.4253,1.026,8,0
94602.5588,208984.5813,-3910.5877,1.0833,8,0
94603.02,208985.5008,-3910.7369,1.1051,8,0
94603.3547,208986.4562,-3910.9014,1.1836,8,0
94603.7036,208987.4194,-3911.0541,1.1931,8,0
94604.0221,208988.4189,-3911.1951,1.2596,8,0
94604.3361,208989.3718,-3911.3189,1.2637,8,0
94604.5561,208990.3636,-3911.4499,1.349,8,0
94604.7512,208991.3643,-3911.5699,1.3656,8,0
94604.8996,208992.3944,-3911.6979,1.436,8,0
94604.9974,208993.402,-3911.8191,1.4599,8,0
94605.0976,208994.3972,-3911.933,1.4621,8,0
94605.1061,208995.4415,-3912.0547,1.5574,8,0
94605.1175,208996.4728,-3912.1713,1.5651,10,0
94605.0618,208997.5125,-3912.2891,1.6426,10,0
94604.9762,208998.5143,-3912.3996,1.6598,10,0
94604.8797,208999.5701,-3912.5118,1.6699,10,0
94604.7036,209000.5651,-3912.6214,1.7334,10,0
94604.5175,209001.5935,-3912.7268,1.7375,10,0
94604.3095,209002.5891,-3912.8318,1.7726,10,0
94604.0769,209003.5671,-3912.9244,1.7854,10,0
94603.8306,209004.5462,-3913.0045,1.7869,10,0
94603.5953,209005.5564,-3913.0957,1.7825,10,0
94603.3463,209006.6228,-3913.1854,1.7785,10,0
94603.1254,209007.6114,-3913.2726,1.7665,10,0
94602.9306,209008.6034,-3913.3687,1.7555,10,0
94602.7302,209009.5996,-3913.4591,1.7572,10,0
94602.5533,209010.6328,-3913.5551,1.7369,10,0
94602.3941,209011.6663,-3913.6495,1.7304,10,0
94602.2393,209012.6598,-3913.7352,1.7292,10,0
94602.0724,209013.6699,-3913.8326,1.7328,10,0
94601.9093,209014.6737,-3913.9378,1.7325,10,0
94601.7367,209015.6727,-3914.0222,1.7347,10,0
94601.5531,209016.7208,-3914.1189,1.739,10,0
94601.3746,209017.7152,-3914.2013,1.7382,10,0
94601.2124,209018.7175,-3914.2756,1.7386,10,0
