x,y,z,yaw,velocity,change_flag
94168.5334,209547.204,-3890.091,-2.9818,2,0
94167.6213,209546.7869,-3890.4683,-2.9758,4,0
94166.6361,209546.5743,-3890.6555,-2.9748,6,0
94165.6467,209546.3935,-3890.8136,-2.9748,6,0
94164.6465,209546.2438,-3890.9498,-2.9731,8,0
94163.6487,209546.1069,-3891.0853,-2.9717,8,0
94162.6512,209545.9557,-3891.2252,-2.9732,8,0
94161.653,209545.8321,-3891.3506,-2.9712,10,0
94160.6537,209545.6849,-3891.4614,-2.9628,10,0
94159.6496,209545.518,-3891.5679,-2.9648,10,0
94158.6629,209545.3066,-3891.6958,-2.9428,7,0
94157.6652,209545.0902,-3891.8152,-2.9422,7,0
94156.6583,209544.8672,-3891.9223,-2.9448,7,0
94155.6534,209544.6514,-3892.0129,-2.9472,7,0
94154.651,209544.4725,-3892.0762,-2.9717,7,0
94153.6453,209544.3185,-3892.1358,-3.0051,7,0
94152.6277,209544.2538,-3892.2083,-3.047,7,0
94151.6077,209544.288,-3892.3134,3.1039,7,0
94150.5837,209544.4011,-3892.4356,3.0683,7,0
94149.6359,209544.762,-3892.4943,2.7896,7,0
94148.7714,209545.2802,-3892.545,2.492,7,0
94147.9724,209545.8931,-3892.6025,2.4633,7,0
94147.3805,209546.7062,-3892.6505,2.1906,7,0
94146.8506,209547.5964,-3892.6966,2.1646,7,0
94146.3035,209548.4603,-3892.7455,2.1447,7,0
94145.7276,209549.3181,-3892.8005,2.1677,7,0
94145.14,209550.1604,-3892.8758,2.174,7,0
94144.5222,209550.9921,-3892.9617,2.1994,7,0
94143.894,209551.7904,-3893.0282,2.2017,7,0
94143.2505,209552.6167,-3893.0896,2.2118,7,0
94142.6297,209553.4276,-3893.1527,2.213,7,0
94142.0318,209554.2573,-3893.2405,2.2084,7,0
94141.4003,209555.0978,-3893.3181,2.2082,7,0
94140.7857,209555.9389,-3893.4006,2.206,10,0
94139.1943,209558.0075,-3893.4574,2.2075,10,0
94138.6671,209558.9023,-3893.6967,2.2071,10,0
94138.0592,209559.7118,-3893.7648,2.2086,10,0
94137.4532,209560.5185,-3893.8473,2.2158,10,0
94136.8406,209561.3252,-3893.921,2.217,10,0
94136.2006,209562.1523,-3894.0055,2.2304,10,0
94135.5778,209562.9365,-3894.1012,2.2397,10,0
94134.936,209563.7232,-3894.1953,2.2425,10,0
94134.3104,209564.5313,-3894.3371,2.2626,10,0
94133.6451,209565.3555,-3894.4664,2.2656,10,0
94132.9964,209566.1381,-3894.5696,2.2887,10,0
94132.3256,209566.9249,-3894.6618,2.2932,10,0
94131.6327,209567.6994,-3894.7551,2.3132,10,0
94130.9257,209568.4516,-3894.855,2.3246,10,0
94130.21,209569.1995,-3894.9572,2.3285,10,0
94129.4724,209569.9345,-3895.0823,2.3608,10,0
94128.7427,209570.6423,-3895.195,2.366,10,0
94128.0087,209571.3283,-3895.2998,2.3953,10,0
94127.2566,209572.0026,-3895.4101,2.4246,10,0
94126.4881,209572.6732,-3895.511,2.4249,10,0
94125.6951,209573.3063,-3895.6174,2.4764,10,0
94124.8772,209573.9234,-3895.7219,2.4887,10,0
94124.0393,209574.5431,-3895.8255,2.5018,10,0
94123.2118,209575.155,-3895.9453,2.524,10,0
94122.3972,209575.7403,-3896.0507,2.5283,10,0
94121.5821,209576.3356,-3896.149,2.5517,10,0
94120.7613,209576.9359,-3896.2375,2.5596,10,0
94119.9439,209577.5251,-3896.2567,2.5642,10,0
94119.0874,209578.0834,-3896.2811,2.5888,10,0
94118.196,209578.6455,-3896.3056,2.5897,10,0
94117.3128,209579.1948,-3896.3224,2.6064,10,0
94116.423,209579.7393,-3896.3309,2.6099,10,0
94115.5294,209580.2757,-3896.3304,2.6065,10,0
94114.6648,209580.7881,-3896.3262,2.6019,10,0
94113.81,209581.31,-3896.3258,2.586,10,0
94112.9553,209581.8877,-3896.3361,2.5613,10,0
94112.1184,209582.4508,-3896.3537,2.559,10,0
94111.3015,209583.0881,-3896.3673,2.4815,10,0
94110.4812,209583.7192,-3896.378,2.4789,10,0
94109.753,209584.441,-3896.4117,2.386,10,0
94109.0368,209585.1396,-3896.5433,2.3527,10,0
94108.4005,209585.914,-3896.5739,2.2833,10,0
94107.7742,209586.6945,-3896.6253,2.1934,10,0
94107.2187,209587.5401,-3896.7842,2.1656,10,0
94106.7528,209588.4494,-3896.8727,2.0488,10,0
94106.3541,209589.3755,-3896.9503,1.9493,10,0
94106.0189,209590.3445,-3897.0189,1.9262,10,0
94105.781,209591.3285,-3897.0914,1.8295,10,0
