x,y,z,yaw,velocity,change_flag
94685.8538,208357.5912,-3854.2078,2.1236,2,0
94685.2705,208358.4086,-3854.2847,2.1694,2,0
94684.6616,208359.2036,-3854.372,2.2308,4,0
94683.989,208359.9572,-3854.4486,2.2498,4,0
94683.2614,208360.6864,-3854.5151,2.3377,6,0
94682.5081,208361.3888,-3854.5738,2.3511,6,0
94681.7524,208362.0724,-3854.6346,2.3829,8,0
94680.9761,208362.7552,-3854.6964,2.3906,8,0
94680.1942,208363.428,-3854.7522,2.3859,10,0
94679.4391,208364.1031,-3854.8226,2.3779,10,0
94678.6693,208364.7738,-3854.8892,2.3712,10,0
94677.9034,208365.4972,-3854.9666,2.3112,10,0
94677.1651,208366.212,-3855.0454,2.2982,10,0
94676.4079,208366.9675,-3855.122,2.2604,10,0
94675.8033,208367.8303,-3855.198,2.1591,10,0
94675.1909,208368.6641,-3855.2661,2.1487,10,0
94674.6761,208369.5718,-3855.3291,2.026,10,0
94674.1985,208370.4655,-3855.384,2.0157,10,0
94673.7412,208371.3803,-3855.4402,1.9633,10,0
94673.3973,208372.3842,-3855.5107,1.8807,10,0
94673.0405,208373.3914,-3855.5751,1.8721,10,0
94672.7606,208374.4075,-3855.6625,1.8223,10,0
94672.4848,208375.3776,-3855.7393,1.8176,10,0
94672.2281,208376.3462,-3855.8312,1.7845,10,0
94672.0018,208377.3249,-3855.9439,1.7691,10,0
94671.761,208378.3485,-3856.0528,1.7748,10,0
94671.546,208379.3984,-3856.1798,1.767,10,0
94671.3228,208380.4198,-3856.2917,1.7694,10,0
94671.0527,208381.3955,-3856.4113,1.8356,10,0
94670.7332,208382.3658,-3856.5306,1.8582,10,0
94670.3905,208383.3132,-3856.6379,1.8992,10,0
94669.9517,208384.2484,-3856.7382,1.9663,10,0
94669.502,208385.1841,-3856.8324,1.9689,10,0
94669.0055,208386.0992,-3856.9147,2.0397,10,0
94668.4907,208386.9854,-3856.991,2.0585,10,0
94667.967,208387.8527,-3857.0712,2.0745,10,0
94667.4126,208388.7198,-3857.1831,2.0958,10,0
94666.8521,208389.5757,-3857.2868,2.0984,10,0
94666.3103,208390.4423,-3857.379,2.109,10,0
94665.7564,208391.3456,-3857.4633,2.1104,10,0
94665.1921,208392.2422,-3857.5433,2.1117,10,0
94664.6176,208393.1109,-3857.6346,2.1216,10,0
94664.0238,208393.9841,-3857.7183,2.1222,10,0
94663.4503,208394.8369,-3857.7913,2.1174,10,0
94662.9011,208395.6843,-3857.8558,2.1143,10,0
94662.3402,208396.537,-3857.9186,2.1108,10,0
94661.8253,208397.4027,-3857.9992,2.0964,10,0
94661.2787,208398.2877,-3858.0724,2.0937,10,0
94660.756,208399.1771,-3858.1345,2.0639,10,0
94660.2543,208400.0552,-3858.1877,2.0537,10,0
94659.7635,208400.9435,-3858.2414,2.011,10,0
94659.3211,208401.8692,-3858.3042,1.9729,10,0
94658.8691,208402.7787,-3858.3578,1.9657,10,0
94658.5479,208403.7535,-3858.439,1.8388,10,0
94658.231,208404.7386,-3858.5173,1.8135,10,0
94658.0292,208405.74,-3858.6272,1.6488,10,0
94657.9169,208406.7576,-3858.7535,1.593,10,0
94657.8288,208407.8005,-3858.8799,1.5392,10,0
94658.1537,208408.7804,-3859.0023,1.3387,10,0
94658.4969,208409.7913,-3859.127,1.3091,10,0
94658.8383,208410.7385,-3859.3155,1.2455,10,0
94659.2347,208411.6635,-3859.5528,1.1041,10,0
94659.6569,208412.6255,-3859.7787,1.0882,10,0
94660.105,208413.5311,-3859.9526,1.0322,10,0
94660.5892,208414.4062,-3860.0859,1.0035,10,0
94661.1022,208415.3107,-3860.2147,1,10,0
94661.6401,208416.1862,-3860.3659,0.992,10,0
94662.174,208417.0449,-3860.5058,1.012,10,0
94662.6053,208417.9532,-3860.6394,1.0893,10,0
94662.943,208418.9105,-3860.7614,1.217,10,0
94663.1602,208419.8984,-3860.8413,1.3555,10,0
94663.267,208420.8993,-3860.9445,1.4337,10,0
