x,y,z,yaw,velocity,change_flag
95071.0717,208511.9043,-3871.681,-2.158,6,0
95070.5435,208511.0359,-3871.4784,-2.1674,6,0
95069.9573,208510.2245,-3871.4946,-2.178,6,0
95069.3571,208509.3962,-3871.4945,-2.1837,6,0
95068.7499,208508.5721,-3871.4953,-2.1785,6,0
95068.1615,208507.7261,-3871.4843,-2.1899,8,0
95067.6268,208506.8402,-3871.4742,-2.1942,8,0
95067.0457,208505.9634,-3871.469,-2.1828,10,0
95066.5033,208505.0711,-3871.4613,-2.1784,10,0
95065.9727,208504.2139,-3871.455,-2.1784,10,0
95065.4386,208503.3188,-3871.4359,-2.161,10,0
95064.9061,208502.4442,-3871.4127,-2.1601,10,0
95064.3733,208501.5684,-3871.3756,-2.1566,10,0
95063.8418,208500.6701,-3871.3148,-2.1529,10,0
95063.317,208499.8131,-3871.2626,-2.155,10,0
95062.7824,208498.935,-3871.2347,-2.1634,10,0
95062.2518,208498.0846,-3871.205,-2.1638,10,0
95061.6865,208497.2347,-3871.1734,-2.1786,10,0
95061.1082,208496.4143,-3871.1407,-2.1842,10,0
95060.4892,208495.5768,-3871.1085,-2.1865,10,0
95059.8825,208494.7345,-3871.0528,-2.1888,10,0
95059.294,208493.8841,-3870.9991,-2.1888,10,0
95058.7136,208493.0277,-3870.9706,-2.1836,10,0
95058.142,208492.1801,-3870.9541,-2.1832,10,0
95057.5754,208491.3414,-3870.9355,-2.1761,10,0
95057.0127,208490.5076,-3870.9164,-2.1736,10,0
95056.4314,208489.654,-3870.8931,-2.1734,10,0
95055.8452,208488.7675,-3870.8565,-2.1742,10,0
95055.2875,208487.9272,-3870.8212,-2.1731,10,0
95054.7326,208487.0882,-3870.7825,-2.1801,10,0
95054.1596,208486.2656,-3870.7444,-2.1799,10,0
95053.594,208485.4182,-3870.7032,-2.1834,10,0
95053.0214,208484.5703,-3870.666,-2.1851,10,0
95052.4575,208483.7353,-3870.6285,-2.1796,10,0
95051.869,208482.874,-3870.5851,-2.1778,10,0
95051.3126,208482.0427,-3870.541,-2.1811,10,0
95050.7307,208481.1658,-3870.5033,-2.183,10,0
95050.1271,208480.3361,-3870.4468,-2.2242,10,0
95049.4514,208479.5954,-3870.3772,-2.2519,10,0
95048.7171,208478.8908,-3870.3124,-2.352,10,0
95047.9139,208478.2372,-3870.2568,-2.4065,8,0
95047.0472,208477.7155,-3870.193,-2.6215,8,0
95046.1047,208477.2933,-3870.1272,-2.6705,8,0
95045.1348,208477.04,-3870.0766,-2.8871,8,0
95044.086,208476.9681,-3870.035,-2.9433,8,0
95043.0844,208476.998,-3870.0254,-3.0993,10,0
95042.0737,208477.0656,-3870.0296,-3.1135,10,0
95041.064,208477.1487,-3870.069,3.115,10,0
95040.0173,208477.2393,-3870.1219,3.1142,10,0
95039.0049,208477.2195,-3870.1608,-3.1408,10,0
95038.0091,208477.3817,-3870.234,-3.1228,10,0
