x,y,z,yaw,velocity,change_flag
94632.4562,208858.65,-3900.5142,-0.1681,2,0
94633.474,208858.5111,-3900.5473,-0.1896,4,0
94634.4582,208858.3294,-3900.5796,-0.2165,4,0
94635.4572,208858.1087,-3900.6252,-0.2393,6,0
94636.4465,208857.8385,-3900.6542,-0.3002,6,0
94637.4253,208857.5514,-3900.6809,-0.3294,8,0
94638.3826,208857.1767,-3900.7259,-0.3858,8,0
94639.3047,208856.7831,-3900.7625,-0.4478,8,0
94640.2426,208856.3334,-3900.7899,-0.4678,8,0
94641.1185,208855.835,-3900.8159,-0.5415,8,0
94642.0244,208855.3181,-3900.8369,-0.5423,8,0
94642.9026,208854.7742,-3900.863,-0.58,8,0
94643.7661,208854.2568,-3900.8847,-0.5761,8,0
94644.6448,208853.7498,-3900.902,-0.5748,8,0
94645.5316,208853.2185,-3900.9186,-0.5781,8,0
94646.4187,208852.6819,-3900.9338,-0.5777,10,0
94647.263,208852.1336,-3900.9562,-0.5957,10,0
94648.1247,208851.5882,-3900.9765,-0.5967,10,0
94648.9814,208851.008,-3900.9877,-0.6149,10,0
94649.829,208850.4361,-3900.992,-0.631,10,0
94650.6578,208849.8507,-3900.975,-0.6372,10,0
94651.4808,208849.2632,-3900.9703,-0.6588,10,0
94652.2997,208848.6548,-3900.9793,-0.6624,10,0
94653.1175,208848.0372,-3900.9938,-0.6677,10,0
94653.9185,208847.4365,-3901.0096,-0.6693,10,0
94654.7473,208846.8381,-3901.009,-0.658,10,0
94655.5981,208846.2491,-3901.003,-0.6561,10,0
94656.4415,208845.6555,-3901.0155,-0.6402,10,0
94657.3081,208845.0672,-3901.0268,-0.6303,10,0
94658.1555,208844.5048,-3901.0379,-0.6042,10,0
94659.0061,208843.9707,-3901.0474,-0.5693,10,0
94659.8898,208843.4783,-3901.057,-0.5321,10,0
94660.7781,208843.0181,-3901.0689,-0.4804,10,0
94661.7006,208842.6019,-3901.0929,-0.4359,10,0
94662.6287,208842.2257,-3901.1177,-0.3728,10,0
94663.5973,208841.9117,-3901.1477,-0.3309,10,0
94664.5911,208841.6228,-3901.1802,-0.275,10,0
94665.5974,208841.4154,-3901.2275,-0.2214,10,0
94666.5955,208841.2461,-3901.2747,-0.1721,10,0
94667.5984,208841.1711,-3901.3323,-0.1203,10,0
94668.6156,208841.0749,-3901.3815,-0.12,10,0
94669.6265,208841.0169,-3901.3999,-0.0714,10,0
94670.6567,208840.9695,-3901.4156,-0.0671,10,0
94671.6874,208840.9498,-3901.4247,-0.0511,10,0
94672.7198,208840.9211,-3901.4386,-0.0508,10,0
94673.7442,208840.8928,-3901.4585,-0.051,10,0
94674.7541,208840.8722,-3901.4809,-0.05,10,0
94675.7786,208840.8446,-3901.5169,-0.07,10,0
94676.8106,208840.8095,-3901.5648,-0.0779,10,0
94677.8649,208840.7547,-3901.6194,-0.0862,10,0
94678.8672,208840.666,-3901.6876,-0.0948,10,0
94679.8789,208840.5746,-3901.7508,-0.1028,10,0
94680.8906,208840.4779,-3901.8085,-0.1199,10,0
94681.9256,208840.3853,-3901.8564,-0.1221,10,0
94682.9617,208840.2497,-3901.8891,-0.168,10,0
94683.9611,208840.1172,-3901.9185,-0.1686,10,0
94684.9442,208839.932,-3901.9714,-0.2285,10,0
94685.968,208839.7298,-3902.0252,-0.2333,10,0
94686.9691,208839.484,-3902.0831,-0.2676,10,0
94687.9783,208839.2049,-3902.1393,-0.2755,10,0
94688.968,208838.9332,-3902.1971,-0.2777,10,0
94689.9676,208838.6666,-3902.254,-0.2782,10,0
94690.9847,208838.4035,-3902.31,-0.2737,10,0
94691.9841,208838.1481,-3902.3711,-0.2722,10,0
94692.9603,208837.9066,-3902.4347,-0.2683,10,0
94693.9342,208837.6744,-3902.4993,-0.2665,10,0
94694.9347,208837.4408,-3902.5572,-0.2628,10,0
94695.9119,208837.2229,-3902.6008,-0.262,10,0
94696.9053,208836.9948,-3902.6503,-0.2569,10,0
94697.9168,208836.7655,-3902.6988,-0.2534,10,0
94698.8926,208836.5447,-3902.7455,-0.2333,10,0
94699.8934,208836.3245,-3902.7898,-0.2205,10,0
94700.8835,208836.1771,-3902.8245,-0.1389,10,0
94701.8914,208836.089,-3902.8594,-0.019,10,0
94702.9102,208836.1617,-3902.8993,0.0538,10,0
94703.8907,208836.4117,-3902.9414,0.2705,10,0
94704.8463,208836.7282,-3902.9807,0.2957,10,0
94705.7356,208837.2451,-3903.0213,0.5274,10,0
94706.5653,208837.8241,-3903.0656,0.7049,10,0
94707.3225,208838.5138,-3903.1214,0.7543,10,0
94707.981,208839.3149,-3903.195,0.9094,10,0
94708.5815,208840.1225,-3903.2766,0.9225,10,0
94709.1455,208840.982,-3903.3879,0.9243,10,0
94709.7526,208841.7966,-3903.5025,0.8565,10,0
94710.4318,208842.5385,-3903.6257,0.8338,10,0
94711.1805,208843.2021,-3903.7627,0.7133,10,0
94711.9823,208843.8241,-3903.9098,0.6113,10,0
94712.8399,208844.3584,-3904.0906,0.5484,10,0
