x,y,z,yaw,velocity,change_flag
94395.5855,208978.1808,-3889.5902,2.822,4,0
94394.5795,208978.2863,-3889.4367,2.8351,4,0
94393.5746,208978.5674,-3889.4671,2.8247,4,0
94392.5873,208978.86,-3889.4875,2.7941,7,0
94391.6302,208979.1504,-3889.4963,2.7792,7,0
94390.6881,208979.4889,-3889.4931,2.7629,7,0
94389.7463,208979.831,-3889.486,2.7479,7,0
94388.7826,208980.1814,-3889.4737,2.7439,7,0
94387.8212,208980.5251,-3889.4618,2.7273,7,0
94386.7419,208980.9485,-3889.4566,2.7054,7,0
94385.8074,208981.3564,-3889.4526,2.6668,7,0
94384.8883,208981.7515,-3889.4414,2.6601,7,0
94383.9938,208982.2322,-3889.4395,2.5745,7,0
94383.1062,208982.7191,-3889.4392,2.5653,7,0
94382.2745,208983.303,-3889.4475,2.4481,7,0
94381.4354,208983.8965,-3889.456,2.4348,7,0
94380.7214,208984.6024,-3889.4716,2.2949,7,0
94379.9827,208985.3144,-3889.4847,2.281,7,0
94379.432,208986.1753,-3889.5226,2.108,7,0
94378.8809,208987.0405,-3889.531,2.104,7,0
94378.4708,208987.976,-3889.5663,1.9377,7,0
94378.065,208988.8919,-3889.5808,1.9363,7,0
94377.7852,208989.8526,-3889.5888,1.8366,7,0
94377.4922,208990.8346,-3889.6007,1.8351,7,0
94377.2046,208991.8144,-3889.6365,1.8156,7,0
94376.921,208992.794,-3889.676,1.8125,7,0
94376.5795,208993.769,-3889.7525,1.8427,7,0
94376.225,208994.7334,-3889.8083,1.8533,7,0
94375.7967,208995.7825,-3889.8305,1.8997,7,0
94375.3932,208996.7127,-3889.8709,1.9209,7,0
94374.969,208997.62,-3889.8976,1.9732,7,0
94374.4595,208998.5066,-3889.9344,2.0108,7,0
94373.9347,208999.3998,-3889.971,2.0122,7,0
94373.3792,209000.2538,-3890.0306,2.0736,7,0
94372.812,209001.104,-3890.0762,2.0747,7,0
94372.2469,209001.966,-3890.1176,2.083,7,0
94371.6831,209002.8164,-3890.1474,2.0834,7,0
94371.1269,209003.6834,-3890.1908,2.064,7,0
94370.5977,209004.5431,-3890.2401,2.0553,7,0
94370.0626,209005.4119,-3890.2851,2.0409,8,0
94369.5651,209006.3092,-3890.3145,2.0141,8,0
94369.0568,209007.1995,-3890.339,2.0103,8,0
94368.5999,209008.1024,-3890.3538,1.9651,8,0
94368.1412,209009.0173,-3890.3636,1.9671,8,0
94367.7097,209009.9616,-3890.3887,1.9305,10,0
