x,y,z,yaw,velocity,change_flag
94273.053,209423.1304,-3889.0077,-0.9813,2,0
94273.638,209422.2887,-3889.0717,-0.984,4,0
94274.1866,209421.4422,-3889.1009,-1.0067,4,0
94274.738,209420.572,-3889.1094,-1.014,6,0
94275.2576,209419.6942,-3889.1245,-1.0407,6,0
94275.7662,209418.8097,-3889.1556,-1.0753,8,0
94276.2618,209417.9319,-3889.1863,-1.0797,8,0
94276.6713,209417.01,-3889.2104,-1.1557,8,0
94277.0591,209416.0453,-3889.2401,-1.2144,8,0
94277.3845,209415.0961,-3889.2808,-1.2317,8,0
94277.6754,209414.1328,-3889.3255,-1.2829,8,0
94277.9664,209413.1362,-3889.3643,-1.291,8,0
94278.2109,209412.1663,-3889.4419,-1.3225,10,0
94278.4614,209411.1888,-3889.5127,-1.327,10,0
94278.6981,209410.1816,-3889.5933,-1.3345,10,0
94278.9545,209409.188,-3889.6619,-1.3268,10,0
94279.2248,209408.1985,-3889.7259,-1.3251,10,0
94279.5072,209407.2317,-3889.7928,-1.3173,10,0
94279.8031,209406.2557,-3889.84,-1.3126,10,0
94280.0883,209405.2522,-3889.9032,-1.3025,10,0
94280.3696,209404.2702,-3889.9602,-1.301,10,0
94280.6689,209403.3042,-3889.9794,-1.2626,10,0
94280.9744,209402.3496,-3889.9845,-1.2607,10,0
94281.3452,209401.3964,-3890.0047,-1.2014,10,0
94281.7283,209400.4524,-3890.0425,-1.1782,10,0
94282.1652,209399.53,-3890.0677,-1.1297,10,0
94282.6394,209398.6219,-3890.1085,-1.0777,10,0
94283.1441,209397.7586,-3890.1356,-1.0395,10,0
94283.712,209396.8983,-3890.1621,-0.957,10,0
94284.3209,209396.0648,-3890.2141,-0.935,10,0
94284.9715,209395.2938,-3890.2613,-0.8438,10,0
94285.6498,209394.5466,-3890.3663,-0.824,10,0
94286.367,209393.8085,-3890.5132,-0.765,10,0
94287.1644,209393.1152,-3890.6532,-0.7194,10,0
94287.9616,209392.4473,-3890.7797,-0.6868,10,0
94288.8302,209391.834,-3890.8991,-0.6302,10,0
94289.667,209391.2546,-3890.9974,-0.6314,10,0
94290.5199,209390.6922,-3891.0833,-0.5859,10,0
94291.3841,209390.1389,-3891.165,-0.5809,10,0
94292.2491,209389.565,-3891.2596,-0.5913,10,0
94293.1286,209388.9753,-3891.3555,-0.5934,10,0
94293.9873,209388.4013,-3891.4498,-0.6109,10,0
94294.8199,209387.8342,-3891.5441,-0.6179,10,0
94295.6902,209387.2203,-3891.6524,-0.6395,10,0
94296.526,209386.6085,-3891.7644,-0.646,10,0
94297.3581,209385.9852,-3891.8755,-0.6644,10,0
94298.1496,209385.3431,-3891.9976,-0.6792,10,0
94298.9649,209384.6827,-3892.1191,-0.6892,10,0
94299.7469,209383.9813,-3892.2714,-0.7106,10,0
94300.5175,209383.3124,-3892.4037,-0.7127,10,0
94301.2736,209382.6115,-3892.5482,-0.7361,10,0
94302.042,209381.9147,-3892.682,-0.741,10,0
94302.7538,209381.1772,-3892.8511,-0.7776,10,0
94303.4664,209380.4168,-3893.024,-0.7863,10,0
94304.1322,209379.6636,-3893.1834,-0.8358,10,0
94304.7707,209378.8544,-3893.3446,-0.8629,10,0
94305.3881,209378.0647,-3893.4923,-0.902,10,0
94305.9413,209377.2201,-3893.6504,-0.9579,10,0
94306.5065,209376.3863,-3893.7944,-0.9654,10,0
94306.9943,209375.507,-3893.9468,-1.0568,10,0
94307.494,209374.6045,-3894.0925,-1.0671,10,0
94307.9268,209373.6551,-3894.2505,-1.1582,10,0
94308.3045,209372.7021,-3894.4083,-1.1847,10,0
94308.6806,209371.6938,-3894.5662,-1.2353,10,0
94308.9764,209370.715,-3894.7185,-1.2702,10,0
94309.2555,209369.7521,-3894.8543,-1.3045,10,0
94309.4486,209368.7622,-3894.9826,-1.3496,10,0
94309.6479,209367.7607,-3895.099,-1.349,10,0
94309.8022,209366.7493,-3895.2209,-1.3949,10,0
94309.9621,209365.7313,-3895.3329,-1.3916,10,0
94310.1514,209364.7266,-3895.438,-1.3857,10,0
94310.3541,209363.7434,-3895.5373,-1.3561,10,0
94310.5975,209362.7461,-3895.6487,-1.3273,10,0
94310.9344,209361.7789,-3895.7538,-1.2543,10,0
94311.3172,209360.8196,-3895.8571,-1.2323,10,0
94311.8335,209359.9287,-3895.9545,-1.1281,10,0
94312.3431,209359.0645,-3896.0632,-1.0181,10,0
94312.9115,209358.2089,-3896.1823,-0.9508,10,0
94313.5679,209357.4468,-3896.3175,-0.8966,10,0
