x,y,z,yaw,velocity,change_flag
94837.2492,208311.3047,-3853.2468,-2.5105,10,0
94836.4388,208310.7022,-3853.2151,-2.5018,10,0
94835.6419,208310.0575,-3853.1372,-2.46,10,0
94834.9263,208309.3438,-3853.0325,-2.3578,10,0
94834.239,208308.5889,-3852.9268,-2.2745,10,0
94833.6554,208307.7461,-3852.8109,-2.2077,10,0
94833.121,208306.8716,-3852.6909,-2.0929,10,0
94832.6552,208305.9443,-3852.558,-2.0506,10,0
94832.2475,208305.0298,-3852.438,-1.9644,10,0
94831.9006,208304.0813,-3852.3228,-1.9346,10,0
94831.5921,208303.1226,-3852.1946,-1.8715,10,0
94831.3122,208302.1221,-3852.046,-1.8568,10,0
94831.0442,208301.1539,-3851.9059,-1.8452,10,0
94830.7681,208300.1555,-3851.7594,-1.8403,10,0
94830.4878,208299.1825,-3851.6058,-1.8637,10,0
94830.2002,208298.222,-3851.4444,-1.872,10,0
94829.897,208297.2453,-3851.2943,-1.8929,10,0
94829.5826,208296.2946,-3851.1595,-1.9094,10,0
94829.2417,208295.3248,-3851.0256,-1.9319,10,0
94828.8729,208294.3943,-3850.893,-1.9585,10,0
94828.4826,208293.4625,-3850.7677,-1.9892,10,0
94828.0681,208292.5453,-3850.6374,-2.0146,10,0
94827.6179,208291.6263,-3850.5363,-2.0712,10,0
94827.1398,208290.7307,-3850.4547,-2.0819,10,0
94826.6042,208289.8629,-3850.3676,-2.1517,10,0
94826.045,208289.0132,-3850.2978,-2.2098,10,0
94825.4852,208288.1784,-3850.2487,-2.2366,10,0
94824.834,208287.3858,-3850.2125,-2.3168,10,0
94824.1217,208286.6518,-3850.1618,-2.3971,10,0
94823.3778,208285.9479,-3850.103,-2.4313,10,0
94822.6699,208285.2374,-3850.0536,-2.4678,10,0
94821.8773,208284.6215,-3850.0378,-2.5386,10,0
94821.0297,208284.0577,-3850.0063,-2.6288,10,0
94820.1628,208283.5503,-3849.9653,-2.6428,10,0
94819.2813,208283.0371,-3849.9502,-2.647,10,0
94818.4213,208282.5003,-3849.9117,-2.6295,10,0
94817.5597,208281.9426,-3849.8511,-2.6202,8,0
94816.6998,208281.395,-3849.8034,-2.6157,8,0
94815.8409,208280.8614,-3849.7791,-2.6138,6,0
94814.98,208280.2983,-3849.7326,-2.6084,6,0
94814.1335,208279.7393,-3849.684,-2.6056,4,0
94813.2366,208279.1333,-3849.6345,-2.619,4,0
94812.2135,208278.4287,-3849.5591,-2.6192,2,0
94811.2963,208277.9627,-3849.5024,-2.636,0,0
