x,y,z,yaw,velocity,change_flag
94277.7863,209237.6718,-3891.1775,2.131,10,0
94277.2675,209238.5408,-3891.159,2.1082,10,0
94276.7488,209239.4255,-3891.1228,2.0943,10,0
94276.2618,209240.322,-3891.0762,2.0888,10,0
94275.7842,209241.2346,-3891.038,2.0769,10,0
94275.3172,209242.1353,-3891.0074,2.0752,10,0
94274.8361,209243.0141,-3891.0255,2.0643,10,0
94274.3297,209243.9146,-3891.0445,2.0523,10,0
94273.8235,209244.805,-3891.0564,2.0455,10,0
94273.3081,209245.6987,-3891.0588,2.0269,10,0
94272.7846,209246.585,-3891.0554,2.018,10,0
94272.2712,209247.4699,-3891.0489,2.0058,10,0
94271.7789,209248.3526,-3891.0511,1.9861,10,0
94271.3252,209249.2595,-3891.0689,1.9789,10,0
94270.9158,209250.2019,-3891.0649,1.9629,10,0
94270.5458,209251.1454,-3891.0514,1.9628,10,0
94270.1361,209252.0973,-3891.0203,1.9578,10,0
94269.7232,209253.025,-3890.9897,1.9572,10,0
94269.3304,209253.9514,-3890.9573,1.9577,10,0
94268.9124,209254.8923,-3890.9333,1.96,10,0
94268.4883,209255.8179,-3890.9211,1.9621,10,0
94268.0596,209256.7425,-3890.9011,1.9673,10,0
94267.6286,209257.6533,-3890.8773,1.9646,10,0
94267.1954,209258.5798,-3890.8536,1.964,10,0
94266.7577,209259.5013,-3890.8313,1.9652,10,0
94266.3599,209260.4323,-3890.7963,1.9696,10,0
94265.9487,209261.366,-3890.7613,1.9763,10,0
94265.556,209262.3002,-3890.7244,1.9825,10,0
94265.1174,209263.2513,-3890.6789,1.9983,10,0
94264.6567,209264.1605,-3890.628,2.0003,10,0
94264.2099,209265.0674,-3890.5558,2.0169,10,0
94263.7612,209265.9696,-3890.4913,2.0196,10,0
94263.3051,209266.8904,-3890.4358,2.0291,10,0
94262.8376,209267.8112,-3890.3822,2.0413,10,0
94262.3665,209268.7265,-3890.3336,2.0447,10,0
94261.8975,209269.629,-3890.3096,2.0547,10,0
94261.4245,209270.5231,-3890.2926,2.0618,10,0
94260.9388,209271.3975,-3890.2738,2.0589,10,0
94260.4268,209272.2601,-3890.2743,2.0506,10,0
94259.9152,209273.1228,-3890.2848,2.034,10,0
94259.4263,209274.0149,-3890.3109,2.0284,10,0
94258.9439,209274.8924,-3890.2967,2.013,10,0
94258.463,209275.7779,-3890.2793,2.0078,10,0
94258.0304,209276.6878,-3890.2702,2.0083,10,0
94257.5606,209277.6117,-3890.2203,2.0388,10,0
94257.0809,209278.504,-3890.1573,2.083,10,0
94256.5825,209279.3832,-3890.0903,2.1158,10,0
94256.0062,209280.2389,-3890.0277,2.2191,10,0
94255.3864,209281.0369,-3889.9642,2.3202,10,0
94254.7073,209281.8041,-3889.8834,2.3537,10,0
94253.96,209282.4849,-3889.8224,2.4868,10,0
94253.1479,209283.1114,-3889.7621,2.6019,10,0
94252.2653,209283.6398,-3889.7,2.6374,10,0
94251.3431,209284.053,-3889.5185,2.7638,10,0
94250.3894,209284.3948,-3889.3474,2.8762,10,0
94249.4114,209284.6471,-3889.1696,2.9796,10,0
94248.4088,209284.8222,-3888.9841,3.0535,10,0
94247.4032,209284.8754,-3888.8106,3.112,10,0
94246.3954,209284.7397,-3888.677,-3.0437,10,0
94245.3907,209284.5443,-3888.6,-2.9165,10,0
94244.4028,209284.348,-3888.6018,-2.799,10,0
94243.4697,209283.9783,-3888.6539,-2.7192,10,0
94242.568,209283.5393,-3888.6868,-2.5683,8,0
94241.7797,209282.8991,-3888.7209,-2.3643,8,0
94241.1275,209282.1281,-3888.7703,-2.1977,6,0
94240.647,209281.2385,-3888.8163,-2.0475,6,0
94240.3266,209280.2876,-3888.7995,-1.909,4,0
94240.1358,209279.3017,-3888.8352,-1.7865,4,0
94240.067,209278.3023,-3888.8149,-1.6811,2,0
94240.1375,209277.3022,-3888.7565,-1.6289,0,0
