x,y,z,yaw,velocity,change_flag
94952.5526,208773.3541,-3913.4106,-0.2251,10,0
94953.5578,208773.1935,-3913.4784,-0.2251,10,0
94954.5641,208773.0373,-3913.529,-0.2158,10,0
94955.5761,208772.9127,-3913.5807,-0.1853,10,0
94956.6122,208772.8138,-3913.6279,-0.1605,10,0
94957.6342,208772.7777,-3913.68,-0.096,10,0
94958.6518,208772.774,-3913.7256,-0.0333,10,0
94959.6739,208772.8295,-3913.7687,-0.0108,10,0
94960.6734,208772.9454,-3913.816,0.0538,10,0
94961.6714,208773.0749,-3913.869,0.0702,10,0
94962.6805,208773.2291,-3913.9348,0.0797,10,0
94963.6928,208773.37,-3913.9738,0.0691,10,0
94964.7104,208773.4963,-3914.0073,0.0433,10,0
94965.7107,208773.587,-3914.053,0.0205,10,0
94966.7277,208773.6302,-3914.0952,-0.0515,10,0
94967.7422,208773.6342,-3914.1336,-0.1035,10,0
94968.7924,208773.5523,-3914.1708,-0.1791,10,0
94969.8026,208773.3742,-3914.2469,-0.309,10,0
94970.7747,208773.1365,-3914.3213,-0.4118,10,0
94971.7073,208772.7107,-3914.3774,-0.5158,10,0
94972.535,208772.0905,-3914.4069,-0.751,10,0
94973.2907,208771.3973,-3914.4133,-0.9171,10,0
94973.9002,208770.5953,-3914.3821,-1.0192,10,0
94974.351,208769.6861,-3914.3668,-1.2689,10,0
94974.7584,208768.7319,-3914.356,-1.2824,10,0
94974.8619,208767.7233,-3914.3523,-1.5352,10,0
94974.9246,208766.7226,-3914.3434,-1.6322,10,0
94974.8417,208765.7097,-3914.3261,-1.7221,10,0
94974.6919,208764.6871,-3914.2974,-1.8185,10,0
94974.4339,208763.6878,-3914.2442,-1.8678,10,0
94974.1651,208762.7092,-3914.158,-1.9082,10,0
94973.8751,208761.7439,-3913.982,-1.9385,10,0
94973.5751,208760.7868,-3913.8192,-1.939,10,0
94973.2795,208759.8274,-3913.5556,-1.955,10,0
94972.9703,208758.8493,-3913.2918,-1.9515,10,0
94972.6835,208757.814,-3912.984,-1.9304,10,0
94972.4581,208756.8383,-3912.6599,-1.9239,10,0
94972.2226,208755.8552,-3912.3651,-1.9104,10,0
94972.0452,208754.8276,-3912.0756,-1.8491,10,0
94971.8618,208753.7988,-3911.8119,-1.8432,10,0
94971.7402,208752.7667,-3911.5112,-1.7736,10,0
94971.6421,208751.732,-3911.2089,-1.7567,10,0
94971.5632,208750.6969,-3910.9343,-1.7148,10,0
94971.5698,208749.6865,-3910.6869,-1.6527,10,0
94971.5789,208748.6434,-3910.4549,-1.6427,10,0
94971.6634,208747.6441,-3910.1927,-1.5209,10,0
94971.7686,208746.642,-3909.9456,-1.4977,10,0
94971.9553,208745.6446,-3909.72,-1.3772,10,0
94972.269,208744.6818,-3909.5159,-1.3097,10,0
94972.6221,208743.74,-3909.3309,-1.2269,10,0
94973.125,208742.8501,-3909.158,-1.1047,10,0
94973.6688,208741.9289,-3908.9924,-1.0616,10,0
94974.2769,208741.0793,-3908.806,-0.8979,10,0
94974.8785,208740.2542,-3908.6428,-0.8896,10,0
94975.6591,208739.5754,-3908.6596,-0.6818,10,0
94976.464,208738.9065,-3908.6828,-0.6708,10,0
94977.2955,208738.3182,-3908.709,-0.5472,10,0
94978.1448,208737.788,-3908.7353,-0.5238,10,0
94979.0499,208737.3005,-3908.7435,-0.4958,10,0
94979.993,208736.8645,-3908.737,-0.4902,10,0
94980.9621,208736.4782,-3908.7361,-0.4842,10,0
94981.94,208736.1777,-3908.7427,-0.4841,10,0
94982.8983,208735.8858,-3908.7473,-0.4657,10,0
94983.9042,208735.5765,-3908.7462,-0.4407,10,0
94984.8895,208735.2744,-3908.7429,-0.4189,10,0
94985.8651,208734.9265,-3908.7238,-0.3838,10,0
94986.8143,208734.608,-3908.7075,-0.3715,10,0
94987.812,208734.3671,-3908.6825,-0.3179,10,0
94988.8021,208734.1335,-3908.6618,-0.3178,10,0
94989.8142,208733.919,-3908.6505,-0.2735,10,0
94990.8172,208733.7148,-3908.64,-0.2723,8,0
94991.8212,208733.5119,-3908.6135,-0.2623,8,0
94992.8042,208733.3007,-3908.5948,-0.2717,6,0
94993.7856,208733.0768,-3908.5793,-0.2747,6,0
94994.7667,208732.8674,-3908.557,-0.2692,4,0
94995.7674,208732.6567,-3908.5367,-0.2665,4,0
94996.7723,208732.4467,-3908.5173,-0.2674,0,0
