x,y,z,yaw,velocity,change_flag
94123.947,209737.4403,-3904.0501,0.481,8,0
94124.8852,209737.8376,-3903.9672,0.4937,8,0
94125.8009,209738.3022,-3903.9506,0.5028,8,0
94126.7152,209738.7746,-3903.9191,0.5086,8,0
94127.5962,209739.2778,-3903.9176,0.5292,6,0
94128.4806,209739.7814,-3903.9231,0.5347,6,0
94129.3317,209740.3348,-3903.954,0.5604,6,0
94130.1907,209740.8998,-3903.9849,0.5819,6,0
94131.0358,209741.4789,-3904.0168,0.5842,6,0
94131.8923,209742.0748,-3904.0262,0.5899,6,0
94132.7371,209742.6581,-3904.0264,0.5904,6,0
94133.5999,209743.1938,-3904.0658,0.5591,6,0
94134.4712,209743.7136,-3904.1278,0.5261,6,0
94135.3528,209744.2322,-3904.2494,0.4919,6,0
94136.2121,209744.7467,-3904.3578,0.4672,6,0
94137.1226,209745.1746,-3904.4932,0.3911,6,0
94138.0682,209745.5336,-3904.6171,0.2848,6,0
94139.0696,209745.7586,-3904.6885,0.1421,6,0
94140.0773,209745.7582,-3904.6717,0.0823,6,0
94141.0738,209745.6432,-3904.6747,-0.1184,6,0
94142.0725,209745.4239,-3904.6657,-0.2609,6,0
94143.0381,209745.123,-3904.6439,-0.325,6,0
94143.9772,209744.7488,-3904.6094,-0.3788,6,0
94144.8826,209744.3133,-3904.5474,-0.4526,6,0
94145.804,209743.8637,-3904.5134,-0.4934,6,0
94146.7341,209743.436,-3904.5231,-0.5076,6,0
94147.6163,209742.9557,-3904.5366,-0.5186,6,0
94148.4763,209742.4348,-3904.5071,-0.5427,6,0
94149.3396,209741.8963,-3904.4639,-0.5639,6,0
94150.1873,209741.3552,-3904.4111,-0.5701,6,0
94151.0246,209740.78,-3904.3786,-0.5987,4,0
94151.8564,209740.1943,-3904.358,-0.6252,4,0
94152.6677,209739.5966,-3904.3438,-0.6361,2,0
94153.4725,209738.9869,-3904.3175,-0.6405,0,0
