x,y,z,yaw,velocity,change_flag
94454.1997,209035.0105,-3900.3239,-2.5028,10,0
94453.4011,209034.3847,-3900.3058,-2.4937,10,0
94452.6068,209033.7523,-3900.2158,-2.4649,10,0
94451.8137,209033.0868,-3900.1241,-2.4232,10,0
94451.0923,209032.3699,-3900.0232,-2.3863,10,0
94450.3905,209031.6084,-3899.8953,-2.3087,10,0
94449.7288,209030.811,-3899.7411,-2.2806,10,0
94449.0846,209029.9864,-3899.5633,-2.2055,10,0
94448.5247,209029.1292,-3899.336,-2.1508,10,0
94447.9686,209028.2731,-3899.1242,-2.1281,10,0
94447.5229,209027.3332,-3898.8872,-2.0491,10,0
94447.0727,209026.4095,-3898.6714,-2.0443,10,0
94446.6428,209025.4797,-3898.4284,-1.99,10,0
94446.2084,209024.5743,-3898.2097,-1.9842,10,0
94445.8445,209023.6174,-3898.0393,-1.926,10,0
94445.4701,209022.6563,-3897.8844,-1.9235,10,0
94445.1348,209021.6972,-3897.7049,-1.8384,10,0
94444.8184,209020.7396,-3897.5273,-1.8236,10,0
94444.5537,209019.7312,-3897.3771,-1.7336,10,0
94444.3165,209018.7416,-3897.2481,-1.7182,10,0
94444.1439,209017.7405,-3897.1362,-1.6348,10,0
94444.0918,209016.7301,-3897.0487,-1.5918,10,0
94444.0726,209015.7105,-3896.9765,-1.5212,10,0
94444.1294,209014.7032,-3896.9176,-1.4619,10,0
94444.2071,209013.7041,-3896.8618,-1.429,10,0
94444.4239,209012.7044,-3896.7841,-1.3246,10,0
94444.6442,209011.7184,-3896.7129,-1.303,10,0
94444.9906,209010.7512,-3896.6408,-1.2059,10,0
94445.3456,209009.7963,-3896.5774,-1.2048,10,0
94445.7943,209008.8662,-3896.5236,-1.1007,10,0
94446.2527,209007.9503,-3896.4743,-1.1036,10,0
94446.7599,209007.0486,-3896.4251,-1.0512,10,0
94447.2691,209006.1719,-3896.3802,-1.0462,10,0
94447.7435,209005.2474,-3896.3222,-1.0712,10,0
94448.21,209004.3548,-3896.2687,-1.0735,10,0
94448.6826,209003.4613,-3896.1913,-1.0927,10,0
94449.1614,209002.5816,-3896.1197,-1.0963,10,0
94449.5952,209001.6778,-3896.0246,-1.1131,8,0
94450.0469,209000.7622,-3895.9396,-1.1229,8,0
94450.4378,208999.8304,-3895.8742,-1.1483,6,0
94450.8432,208998.9076,-3895.8154,-1.1519,6,0
94451.1839,208997.9609,-3895.7331,-1.2156,4,0
94451.5363,208996.9982,-3895.6585,-1.2345,4,0
94451.7872,208995.9926,-3895.574,-1.2874,2,0
94452.0371,208995.0047,-3895.4935,-1.3178,2,0
