x,y,z,yaw,velocity,change_flag
93750.8685,209827.5619,-3910.2416,1.4151,10,0
93750.9861,209828.5683,-3910.1878,1.4141,10,0
93751.0528,209829.573,-3910.1099,1.413,10,0
93751.151,209830.5792,-3910.0434,1.4168,10,0
93751.2611,209831.5929,-3909.9717,1.4151,10,0
93751.3736,209832.5924,-3909.8945,1.4169,10,0
93751.4894,209833.5989,-3909.8046,1.4169,10,0
93751.6074,209834.6109,-3909.7163,1.4161,10,0
93751.6922,209835.645,-3909.635,1.4223,10,0
93751.7638,209836.6596,-3909.5613,1.4243,10,0
93751.8575,209837.6853,-3909.4845,1.4286,10,0
93751.9553,209838.6856,-3909.4163,1.4283,10,0
93752.0445,209839.708,-3909.3601,1.4387,10,0
93752.1375,209840.7375,-3909.3124,1.441,10,0
93752.2332,209841.7667,-3909.2709,1.4495,10,0
93752.329,209842.7636,-3909.2337,1.4537,10,0
93752.4218,209843.7622,-3909.1971,1.4583,10,0
93752.5265,209844.7923,-3909.1787,1.4633,10,0
93752.6392,209845.7887,-3909.1939,1.4712,10,0
93752.7377,209846.8287,-3909.2013,1.4818,10,0
93752.8225,209847.843,-3909.2048,1.4827,10,0
93752.8875,209848.8656,-3909.2233,1.5146,10,0
93752.939,209849.8849,-3909.2417,1.5251,10,0
93752.9397,209850.9028,-3909.2537,1.5408,10,0
93752.9317,209851.9406,-3909.2457,1.5666,10,0
93752.9163,209852.9651,-3909.2273,1.5746,10,0
93752.8425,209853.9788,-3909.203,1.6,10,0
93752.7651,209854.9946,-3909.1964,1.638,10,0
93752.6666,209856.035,-3909.2006,1.671,10,0
93752.5435,209857.0333,-3909.2165,1.6864,10,0
93752.3493,209858.0332,-3909.2092,1.7365,10,0
93752.1408,209859.032,-3909.1847,1.8031,10,0
93751.9259,209860.0116,-3909.146,1.8445,10,0
93751.5967,209860.9897,-3909.0641,1.8917,10,0
93751.2521,209861.9425,-3908.9702,1.9564,10,0
93750.8891,209862.8801,-3908.8749,1.9757,10,0
93750.4988,209863.8264,-3908.7813,1.9793,10,0
93750.0811,209864.7819,-3908.6518,1.9775,10,0
93749.6747,209865.7164,-3908.524,1.9796,10,0
93749.2614,209866.6372,-3908.4075,1.9912,10,0
93748.8448,209867.5589,-3908.3058,1.9969,10,0
93748.3149,209868.5733,-3908.2213,2.0307,10,0
93747.8644,209869.47,-3908.1708,2.0621,8,0
93747.3413,209870.3365,-3908.125,2.0853,8,0
93746.8012,209871.187,-3908.0956,2.0909,6,0
93746.2702,209872.0637,-3908.0878,2.0856,6,0
93745.7454,209872.923,-3908.0802,2.0806,4,0
93745.2431,209873.8073,-3908.0439,2.0787,4,0
93744.7496,209874.6778,-3908.0186,2.0804,2,0
93744.2456,209875.5441,-3908.0149,2.0817,0,0
