x,y,z,yaw,velocity,change_flag
94175.125,209445.6331,-3889.936,-0.2549,0,0
94176.104,209445.3761,-3889.7895,-0.1996,8,0
94177.1033,209445.1734,-3889.6695,-0.1782,8,0
94178.1173,209444.9916,-3889.557,-0.1529,8,0
94179.154,209444.8471,-3889.449,-0.0891,8,0
94180.1664,209444.7522,-3889.3461,-0.0641,8,0
94181.1717,209444.6971,-3889.252,-0.0012,8,0
94182.2085,209444.7596,-3889.1443,0.0659,8,0
94183.2429,209444.816,-3889.0513,0.0629,8,0
94184.2545,209444.9547,-3888.9737,0.1704,8,0
94185.2852,209445.1585,-3888.9083,0.2078,8,0
94186.6931,209445.5455,-3888.8618,0.2386,8,0
94187.7255,209445.7409,-3888.7074,0.2788,8,0
94188.7104,209446.0316,-3888.6212,0.3003,8,0
94189.6647,209446.3417,-3888.514,0.3415,8,0
94190.6243,209446.6513,-3888.4175,0.3513,8,0
94191.5345,209447.0846,-3888.302,0.3919,8,0
94192.4515,209447.5072,-3888.199,0.3941,8,0
94193.3547,209447.9382,-3888.0626,0.4415,8,0
94194.2876,209448.3678,-3887.9403,0.4448,8,0
94195.202,209448.8056,-3887.8421,0.4719,8,0
94197.0945,209449.8962,-3887.6712,0.4476,8,0
94198.06,209450.2291,-3887.4963,0.4599,8,0
94198.9918,209450.6044,-3887.413,0.4063,8,0
94199.9393,209450.9653,-3887.3394,0.402,8,0
94200.8978,209451.3146,-3887.2953,0.3255,8,0
94201.8546,209451.6463,-3887.2633,0.3164,8,0
94202.8473,209451.9409,-3887.2209,0.2428,8,0
94203.8464,209452.2094,-3887.1758,0.2304,8,0
94204.8759,209452.3982,-3887.1543,0.1564,8,0
94205.8654,209452.5512,-3887.1419,0.148,8,0
94206.8803,209452.6122,-3887.1513,0.0642,8,0
94207.9118,209452.6414,-3887.1566,0.0121,8,0
94208.9381,209452.5702,-3887.1555,-0.0403,8,0
94209.9559,209452.5008,-3887.1428,-0.1196,8,0
94210.9995,209452.4258,-3887.112,-0.1558,8,0
94212.0016,209452.2799,-3887.0919,-0.2653,8,0
94213.0188,209452.0756,-3887.0775,-0.2814,8,0
94213.9974,209451.7625,-3887.0377,-0.3879,8,0
94214.948,209451.4191,-3886.9956,-0.3998,8,0
94215.8789,209451.008,-3886.9764,-0.4414,8,0
94216.791,209450.5674,-3886.9694,-0.4481,8,0
94217.7267,209450.1182,-3886.9581,-0.455,8,0
94218.6351,209449.6791,-3886.9438,-0.4583,8,0
94219.5652,209449.2459,-3886.9275,-0.4569,8,0
94220.4857,209448.8309,-3886.9035,-0.4548,8,0
94221.4108,209448.4266,-3886.8811,-0.4547,8,0
94222.3398,209448.014,-3886.8376,-0.4534,8,0
94223.2839,209447.6042,-3886.799,-0.4534,2,0
94224.1922,209447.1588,-3886.7695,-0.4534,2,0
