x,y,z,yaw,velocity,change_flag
94710.4377,208975.5602,-3918.5151,3.0057,10,0
94709.4319,208975.673,-3918.4536,3.0253,10,0
94708.3051,208975.7655,-3918.2922,2.989,10,0
94707.3241,208975.9904,-3918.3175,2.964,10,0
94706.3373,208976.1979,-3918.2527,2.8979,10,0
94705.3642,208976.47,-3918.192,2.8674,10,0
94704.3938,208976.7967,-3918.1493,2.803,10,0
94703.468,208977.2318,-3918.1344,2.7668,10,0
94702.5838,208977.7171,-3918.1369,2.6877,10,0
94701.6911,208978.249,-3918.1522,2.6716,10,0
94700.8294,208978.7733,-3918.1812,2.5985,10,0
94699.9736,208979.3065,-3918.2175,2.5539,10,0
94699.1252,208979.9136,-3918.2772,2.518,10,0
94698.286,208980.5316,-3918.3522,2.4846,10,0
94697.4484,208981.1782,-3918.4502,2.4761,10,0
94696.6369,208981.793,-3918.5454,2.4558,10,0
94695.8185,208982.4033,-3918.6373,2.4541,10,0
94695.0299,208983.0363,-3918.7316,2.4522,10,0
94694.2334,208983.6597,-3918.8172,2.4505,10,0
94693.4344,208984.3067,-3918.9029,2.448,10,0
94692.6451,208984.9285,-3918.9746,2.4566,10,0
94691.827,208985.5642,-3919.0308,2.4614,10,0
94691.0242,208986.1632,-3919.0723,2.4827,10,0
94690.2034,208986.752,-3919.1006,2.4905,10,0
94689.369,208987.3627,-3919.1443,2.5066,10,0
94688.5614,208987.9586,-3919.1953,2.514,10,0
94687.6991,208988.4946,-3919.1974,2.519,10,0
94686.804,208989.0065,-3919.19,2.5244,10,0
94685.8451,208989.5571,-3919.184,2.5633,10,0
94684.949,208990.0742,-3919.1794,2.6061,10,0
94684.0854,208990.5888,-3919.1695,2.6274,10,0
94683.175,208991.0678,-3919.1589,2.6637,10,0
94682.2472,208991.4783,-3919.1474,2.6738,10,0
94681.3271,208991.8813,-3919.1353,2.6975,10,0
94680.3878,208992.2847,-3919.1237,2.7021,10,0
94679.4671,208992.6929,-3919.122,2.6979,10,0
94678.5464,208993.1004,-3919.124,2.6969,10,0
94677.6083,208993.5325,-3919.1131,2.6932,10,0
94676.6871,208993.9417,-3919.1011,2.6951,10,0
94675.7592,208994.3723,-3919.0814,2.6969,10,0
94674.8459,208994.7837,-3919.0632,2.7059,8,0
94673.8957,208995.2112,-3919.0425,2.7233,8,0
94672.9423,208995.6123,-3919.0196,2.7496,6,0
94671.9903,208995.9626,-3918.984,2.7714,6,0
94671.0349,208996.2885,-3918.9474,2.817,4,0
94670.0539,208996.5907,-3918.9087,2.8351,4,0
94669.0696,208996.867,-3918.8644,2.8851,2,0
94668.0924,208997.1121,-3918.8172,2.8907,0,0
