x,y,z,yaw,velocity,change_flag
93926.5104,209708.1903,-3905.4982,-2.886,0,0
93925.5237,209708.0022,-3905.4051,-2.8882,8,0
93924.5301,209707.7965,-3905.3194,-2.8823,8,0
93923.5456,209707.5759,-3905.2351,-2.8789,8,0
93922.5488,209707.3507,-3905.1569,-2.8782,8,0
93921.5565,209707.1306,-3905.087,-2.8788,8,0
93920.5734,209706.9183,-3905.0267,-2.8783,8,0
93919.5837,209706.7199,-3904.9339,-2.8822,8,0
93918.5193,209706.5141,-3904.8437,-2.8813,8,0
93917.5035,209706.3213,-3904.7177,-2.8916,8,0
93916.5164,209706.1443,-3904.5976,-2.896,8,0
93915.4932,209706.0236,-3904.4309,-2.9029,8,0
93914.4946,209705.8837,-3904.2705,-2.9089,8,0
93913.4939,209705.7228,-3904.1228,-2.9043,8,0
93912.5067,209705.5386,-3904.0013,-2.8987,8,0
93911.5338,209705.2889,-3903.9041,-2.8836,8,0
93910.5463,209705.0072,-3903.7991,-2.8677,8,0
93909.5673,209704.7152,-3903.6915,-2.8676,8,0
93908.6256,209704.3531,-3903.6142,-2.8723,8,0
93907.6426,209704.0587,-3903.577,-2.9102,8,0
93906.6297,209703.8169,-3903.5656,-2.956,8,0
93905.6392,209703.6337,-3903.5743,-2.985,8,0
93904.6315,209703.5793,-3903.5883,-3.0581,8,0
93903.607,209703.5414,-3903.6069,-3.1256,8,0
93902.5767,209703.5153,-3903.6321,3.1242,8,0
93901.5571,209703.5987,-3903.6633,3.0622,8,0
93900.5637,209703.7279,-3903.675,2.9805,8,0
93899.5681,209703.9151,-3903.6829,2.9291,8,0
93898.6007,209704.1858,-3903.7096,2.8959,8,0
93897.6401,209704.5023,-3903.7371,2.8316,8,0
93896.6966,209704.8457,-3903.7586,2.7782,8,0
93895.7765,209705.2403,-3903.7671,2.7355,8,0
93894.8641,209705.7214,-3903.7764,2.6359,8,0
93893.9904,209706.2675,-3903.7925,2.567,8,0
93893.1764,209706.8541,-3903.8191,2.54,8,0
93892.3861,209707.4725,-3903.8694,2.4829,8,0
93891.5956,209708.1172,-3903.9075,2.4407,8,0
93890.8454,209708.7863,-3903.8948,2.4149,8,0
93890.1176,209709.5068,-3903.9182,2.3547,8,0
93889.4215,209710.2521,-3903.9527,2.3093,8,0
93888.7666,209711.0291,-3903.9888,2.2955,8,0
93888.12,209711.8369,-3904.009,2.2516,8,0
93887.5013,209712.6581,-3904.0171,2.2192,8,0
93886.8929,209713.514,-3904.0152,2.2123,8,0
93886.3368,209714.3585,-3904.0253,2.1755,8,0
93885.8056,209715.2098,-3904.0359,2.1385,8,0
93885.2845,209716.0748,-3904.046,2.1229,8,0
93884.7881,209716.9649,-3904.0532,2.0982,8,0
93884.3076,209717.8801,-3904.0524,2.0654,6,0
93883.8368,209718.8029,-3904.0525,2.0537,6,0
93883.4029,209719.728,-3904.0769,2.0373,2,0
93882.9848,209720.6456,-3904.1095,2.0226,2,0
