x,y,z,yaw,velocity,change_flag
94796.839,208702.2211,-3893.98,3.0269,10,0
94795.8351,208702.2002,-3893.9367,3.0504,10,0
94794.8255,208702.266,-3893.8937,3.0837,10,0
94793.8147,208702.2433,-3893.8452,3.125,10,0
94792.8095,208702.1786,-3893.797,-3.1318,10,0
94791.8072,208702.0733,-3893.7137,-3.0533,10,0
94790.8022,208701.9413,-3893.6345,-2.9984,10,0
94789.8056,208701.6802,-3893.5283,-2.9189,10,0
94788.8207,208701.4275,-3893.4361,-2.915,10,0
94787.8933,208701.0465,-3893.3097,-2.7807,10,0
94786.94,208700.6618,-3893.1951,-2.772,10,0
94786.0503,208700.1784,-3893.0625,-2.6673,10,0
94785.1758,208699.6794,-3892.9368,-2.6553,10,0
94784.3052,208699.1331,-3892.8033,-2.5841,10,0
94783.4268,208698.5379,-3892.6668,-2.5664,10,0
94782.5915,208697.9579,-3892.5328,-2.5374,10,0
94780.9501,208696.5825,-3892.3615,-2.531,10,0
94780.0421,208696.1275,-3892.0401,-2.5307,10,0
94779.2101,208695.5089,-3891.8773,-2.5407,10,0
94778.3959,208694.8768,-3891.7509,-2.5575,10,0
94777.5761,208694.2645,-3891.6406,-2.5581,10,0
94776.7334,208693.7107,-3891.5307,-2.6009,10,0
94775.8639,208693.1772,-3891.4271,-2.6079,10,0
94774.9628,208692.6434,-3891.3122,-2.6421,10,0
94774.0762,208692.1347,-3891.1986,-2.6561,10,0
94773.1661,208691.6403,-3891.0684,-2.6966,10,0
94771.4699,208690.7564,-3890.7984,-2.7504,10,0
94770.5033,208690.456,-3890.5806,-2.8097,10,0
94769.5077,208690.1059,-3890.4255,-2.8184,10,0
94768.539,208689.8376,-3890.2674,-2.9025,10,0
94767.548,208689.5749,-3890.1254,-2.9124,10,0
94766.5475,208689.3625,-3889.955,-2.9993,10,0
94765.5471,208689.1597,-3889.805,-3.0051,10,0
94764.5338,208689.0918,-3889.703,-3.1108,8,0
94763.5164,208689.0412,-3889.6109,3.1168,8,0
94762.4956,208689.023,-3889.5122,3.0494,8,0
94761.4913,208689.0443,-3889.4527,2.9468,8,0
94760.4933,208689.1451,-3889.4478,2.8999,8,0
94759.496,208689.371,-3889.42,2.766,8,0
94758.5246,208689.6647,-3889.3865,2.7292,8,0
94757.5993,208690.099,-3889.3642,2.6487,8,0
94756.6897,208690.606,-3889.3442,2.554,10,0
94755.8339,208691.1455,-3889.3302,2.5021,10,0
94755.005,208691.7469,-3889.3226,2.4789,10,0
94754.1902,208692.3311,-3889.3146,2.4386,10,0
94753.3656,208692.9254,-3889.3069,2.4137,10,0
94752.5862,208693.5727,-3889.2967,2.392,10,0
94751.8368,208694.2524,-3889.2902,2.3399,8,0
94751.0943,208694.9409,-3889.2854,2.3299,8,0
94750.3951,208695.6731,-3889.2827,2.2938,8,0
94749.6908,208696.4029,-3889.2732,2.2719,8,0
94748.9749,208697.1308,-3889.2602,2.2658,8,0
94748.2928,208697.8715,-3889.2482,2.2486,6,0
94747.6086,208698.6401,-3889.2353,2.2257,6,0
94746.9303,208699.4144,-3889.222,2.2188,4,0
94746.3024,208700.2056,-3889.2054,2.1942,2,0
94745.6507,208700.9834,-3889.2068,2.1841,0,0
