x,y,z,yaw,velocity,change_flag
94175.3447,209307.2662,-3891.7118,0.8735,10,0
94175.8719,209308.1363,-3891.6856,0.8526,10,0
94176.4962,209308.9227,-3891.6003,0.8229,10,0
94177.1659,209309.6961,-3891.5098,0.7931,10,0
94177.8346,209310.4593,-3891.4258,0.7895,10,0
94178.5262,209311.1899,-3891.3051,0.7761,10,0
94179.2296,209311.9158,-3891.1708,0.7926,10,0
94179.9413,209312.6214,-3891.0337,0.7952,10,0
94180.6172,209313.3758,-3890.93,0.8272,10,0
94181.2646,209314.14,-3890.8289,0.8583,10,0
94181.9017,209314.9218,-3890.7347,0.8629,10,0
94182.5262,209315.7195,-3890.6305,0.8898,10,0
94183.1605,209316.4999,-3890.5528,0.9151,10,0
94183.8382,209317.2711,-3890.5096,0.929,10,0
94184.4994,209318.0648,-3890.4659,0.9935,10,0
94185.1315,209318.8439,-3890.4243,0.9979,10,0
94185.6747,209319.694,-3890.407,1.0651,10,0
94186.2025,209320.5555,-3890.3864,1.114,10,0
94186.6675,209321.4556,-3890.3529,1.1449,10,0
94187.1161,209322.3886,-3890.3145,1.1941,10,0
94187.5319,209323.3113,-3890.2821,1.199,10,0
94187.8837,209324.2808,-3890.2833,1.2317,10,0
94188.2142,209325.2349,-3890.2799,1.2337,8,0
94188.5356,209326.1964,-3890.2557,1.2341,8,0
94188.8938,209327.1438,-3890.2334,1.2293,8,0
94189.2451,209328.0811,-3890.2104,1.2335,8,0
94189.5921,209329.0271,-3890.1731,1.2357,8,0
94189.9263,209329.9742,-3890.1539,1.2395,6,0
94190.2743,209330.9196,-3890.1555,1.2401,6,0
94190.6401,209331.8653,-3890.1897,1.2392,4,0
94190.9916,209332.8222,-3890.1699,1.235,2,0
94191.3477,209333.7603,-3890.1228,1.2269,2,0
94191.6945,209334.7156,-3890.0493,1.2173,0,0
