x,y,z,yaw,velocity,change_flag
94754.7627,209144.59,-3933.4224,0.7367,10,0
94755.5157,209145.252,-3933.4426,0.7392,10,0
94756.2651,209145.9719,-3933.4858,0.7492,10,0
94757.0054,209146.6723,-3933.5231,0.7483,10,0
94757.7227,209147.3747,-3933.5542,0.7479,10,0
94758.4684,209148.0896,-3933.5834,0.7468,10,0
94759.2308,209148.7537,-3933.6126,0.7304,10,0
94760.0119,209149.402,-3933.6413,0.7294,10,0
94761.1245,209150.5235,-3933.5099,0.7121,10,0
94762.0247,209151.0247,-3933.7402,0.6912,10,0
94762.8076,209151.6923,-3933.7817,0.6877,10,0
94763.6117,209152.3442,-3933.8065,0.6703,10,0
94764.4208,209152.9707,-3933.8174,0.663,10,0
94765.224,209153.5949,-3933.8315,0.6336,10,0
94766.0274,209154.2221,-3933.8501,0.6229,10,0
94766.844,209154.8326,-3933.8721,0.5939,10,0
94767.6849,209155.4272,-3933.9011,0.5714,10,0
94768.5408,209155.999,-3933.9102,0.5406,10,0
94769.4064,209156.5368,-3933.8876,0.5185,10,0
94770.2703,209157.0436,-3933.8699,0.499,10,0
94771.2028,209157.5118,-3933.868,0.4701,8,0
94772.1386,209157.9507,-3933.8687,0.4432,8,0
94773.0924,209158.3525,-3933.8742,0.4193,8,0
94774.0576,209158.7471,-3933.8803,0.4053,8,0
94775.0213,209159.1655,-3933.8904,0.361,8,0
94776.0062,209159.5609,-3933.9053,0.3228,8,0
94776.9909,209159.8697,-3933.9425,0.2659,8,0
94777.9787,209160.1574,-3933.9723,0.2395,8,0
94778.9834,209160.319,-3933.9653,0.1568,8,0
94779.9945,209160.4608,-3933.9586,0.1123,8,0
94781.0068,209160.5032,-3933.949,0.0309,8,0
94782.0091,209160.5379,-3933.9349,0.0081,8,0
94783.0084,209160.4839,-3933.8904,-0.0683,8,0
94784.0384,209160.4287,-3933.8467,-0.0829,8,0
94785.0427,209160.3355,-3933.8052,-0.1129,8,0
94786.0707,209160.2407,-3933.768,-0.124,8,0
94787.0911,209160.0901,-3933.7255,-0.1575,8,0
94788.1039,209159.9289,-3933.6901,-0.1827,10,0
94789.083,209159.7074,-3933.66,-0.2233,10,0
94790.059,209159.4819,-3933.6321,-0.2508,10,0
94791.0295,209159.2025,-3933.5846,-0.3109,10,0
94792.0143,209158.8946,-3933.5396,-0.3676,10,0
94792.9709,209158.4923,-3933.4764,-0.4231,10,0
94793.8894,209158.0945,-3933.4217,-0.4748,10,0
94794.7684,209157.5777,-3933.3644,-0.5673,8,0
94795.6348,209157.0324,-3933.308,-0.6448,8,0
94796.428,209156.3624,-3933.2403,-0.707,6,0
94797.1813,209155.685,-3933.1779,-0.7858,6,0
94797.9063,209154.9205,-3933.1082,-0.8254,4,0
94798.5655,209154.1501,-3933.0287,-0.8896,4,0
94799.2114,209153.3732,-3932.951,-0.9042,2,0
94799.8157,209152.5643,-3932.8588,-0.9417,0,0
