id,x,y
0,94135,209160,a
1,94147,209160,b
2,94160,209160,c
3,94134,209219,d
4,94145,209219,e
5,94156,209219,f
6,94138,209275,g
7,94149,209275,h
8,94162,209275,i
9,94174,209308,j
